Dive Site,Type,Country,Notes,,Dive Site,Type,Country,City,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,Dive Site,Type,Country,,,Dive Site,Type,Country
Amanyara Wall,Geographic Site,Turks and Caicos,,,Green,Beach,Cyprus,,,,Cathedral (La Cueva),Cavern/Cave,Spain,,,Shark Ray Alley,Geographic Site,Belize,,,Vivian Quarry,Lake,,,Twilight Zone,Other,Indonesia,,,Superior Producer,Wreck,Curaçao
Amed Pyramids,Other,Indonesia,,,Port Noarlunga,Beach,Australia,,,,Caves & Tunnels,Cavern/Cave,Cyprus,,,Dean’s Blue Hole,Geographic Site,Bahamas,,,Loch Long,Lake,A Frames,,Kakaban Jellyfish Lake,Other,Indonesia,,,Bianca C,Wreck,Grenada
Anaho,Geographic Site,French Polynesia,,,Whytecliff Park,Beach,Canada,,,,The Canyon,Cavern/Cave,Egypt,,,Tiger Beach,Geographic Site,Bahamas,,,Loch Fyne,Lake,Stallion Rock,,San Miguel Pyramids,Other,Philippines,,,Veronica L,Wreck,Grenada
Anchor,Geographic Site,St. Vincent,,,Porteau Cove,Beach,Canada,,,,Koh Haa - Cathedral,Cavern/Cave,Thailand,,,Bloody Bay Wall,Geographic Site,Cayman Islands,,,Loch Ness,Lake,Urquhart,,Secret Bay (Mainit),Other,Philippines,,,Stavronikita,Wreck,Barbados
Andaman Island - Dixon’s Pinnacle,Geographic Site,India,,,Saltwater State Park,Beach,USA,,,,Boo Windows,Cavern/Cave,Indonesia,,,Jackson’s Bight,Geographic Site,Cayman Islands,,,Llyn Tegid,Lake,Bala Lake,,Hoi Ha Wan Marine Park,Other,Hong Kong,,,Charles Brown,Wreck,Cable Layer
Andaman Island - Fish Rock,Cavern/Cave,India,,,Black Rock,Beach,USA,,,,Farondi Cave System,Cavern/Cave,Indonesia,,,Devil’s Grotto,Geographic Site,Cayman Islands,,,Plitvice Lakes - Submerged Forest,Lake,Croatia,,Dadonghai,Other,China,,,El Aguila,Wreck,Honduras
Andaman Island - Johnny’s Gorge,Geographic Site,India,,,Izu Oceanic Park (IOP),Beach,Japan,,,,Fish Rock Cave,Cavern/Cave,Australia,,,Eden Rock,Geographic Site,Cayman Islands,,,Lake Ohrid,Lake,,,Mosquito Pier,Other,Puerto Rico,,,Odyssey,Wreck,Honduras
Andaman Island - South Button,Geographic Site,India,,,Osezaki,Beach,Japan,,,,Rottnest Island - Shark Cave,Cavern/Cave,Australia,,,Babylon,Geographic Site,Cayman Islands,,,Lake Tanganyika - Kipili,Lake,Tanzania,,Puhi,Other,USA,,,Um El Faroud,Wreck,Malta
Andaman Island - The Wall (Havelock),Geographic Site,India,,,Nazumado,Beach,Japan,,,,Kilsby Sinkhole,Cavern/Cave,Australia,,,Stingray City Sandbar,Geographic Site,Cayman Islands,,,Lake Tanganyika,Lake,Kalemie,,Ogden Point Breakwater,Other,Canada,,,P29 (Boltenhagen),Wreck,Malta
Andrea I,Beach,Bonaire,,,Anse Chastanet,Beach,,,,,Cathedral Cave,Cavern/Cave,Australia,,,Northstar Wall,Geographic Site,,,,Lake Malawi,Lake,Cape Maclear,,Rainbow River,Other,USA,,,HMS Maori,Wreck,Malta
Andrea II,Beach,Bonaire,,,Sharks Cove,Beach,USA,,,,Cathedral (Nine Mile),Cavern/Cave,South Africa,,,Champagne,Geographic Site,Dominica,,,Lake Malawi - Chizumulu,Lake,Japan,,Bimini Road (Atlantis Stones),Other,Bahamas,,,Haven (MT Haven),Wreck,Italy
Anemone,Geographic Site,Thailand,,,Barking Sands,Beach,USA,,,,Cathedral,Cavern/Cave,Mauritius,,,Dangleben’s Pinnacles,Geographic Site,Dominica,,,Lake Malawi,Lake,Likoma,,Tektite Site,Other,U.S. Virgin Islands,,,Donator (SS Prosper Schiaffino),Wreck,France
Angel City,Beach,Bonaire,,,Monastery South,Beach,USA,,,,Maeda Point (Blue Cave),Cavern/Cave,Japan,,,Réserve Cousteau (Pigeon Island),Geographic Site,Guadeloupe,,,Lake Victoria - Ssese,Lake,Australia,,Kavieng Harbor,Other,New Ireland,,,Le Grec (Sagone),Wreck,France
Angel Fish Blue Hole,Geographic Site,Bahamas,,,Point Dume,Beach,USA,,,,Plura Cave,Cavern/Cave,Norway,,,Third Encounter,Geographic Site,Pinnacles,,,Lake Victoria - Jinja Source,Lake,Australia,,Sha’ab Rumi - Cousteau’s Precontinent,Other,Sudan,,,Rubis Submarine,Wreck,France
Angelita Cenote,Cavern/Cave,Mexico,,,Shark Fin Cove,Beach,USA,,,,Orda Cave,Cavern/Cave,Russia,,,Eye of the Needle,Geographic Site,Pinnacles,,,Lake Kivu,Lake,Rubavu,,Hanifaru,Other,Maldives,,,Naranjito (Isla Grosa) Wreck,Wreck,Spain
Angra dos Reis - Ilha Grande - Jorge Grego,Geographic Site,Brazil,,,Butterfly House,Beach,USA,,,,Elephant Cave,Cavern/Cave,Greece,,,Mary’s Place,Geographic Site,Honduras,,,Lake Kivu,Lake,Idjwi,,Exmouth Navy Pier,Other,Australia,,,Zenobia,Wreck,Cyprus
